Well.Position,Temperature,Fluorescence,Normalized,tm,Protein,Ligand
C02,35.7076,19779.33,0.0178644181251177,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,35.76707,19979.191,0.0183934527912126,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,35.826538,20183.592,0.018934504896348,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,35.886005,20392.396,0.0194872117997423,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,35.945473,20605.582,0.0200515179141224,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.004944,20823.203,0.0206275635311775,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.06441,21045.271,0.0212153804150637,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.12388,21271.84,0.0218151115044831,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.18335,21503.037,0.0224270929700875,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.242817,21739.025,0.0230517562749965,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.302284,21979.977,0.0236895593524598,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.36175,22226.1,0.0243410501341695,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.421223,22477.635,0.0250068665502597,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.48069,22734.848,0.0256877127061894,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.540157,22997.965,0.0263841868268978,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.59963,23267.205,0.0270968686082329,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.659096,23542.818,0.0278264198034457,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.718563,23825.016,0.0285734015792932,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.77803,24114.041,0.0293384545129225,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.8375,24410.15,0.0301222588866758,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.89697,24713.615,0.0309255346880903,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,36.956436,25024.684,0.0317489383763911,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.015907,25343.559,0.0325930046482051,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.075375,25670.428,0.0334582311419772,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.134842,26005.422,0.034344964616411,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.19431,26348.568,0.0352532765408576,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.25378,26699.844,0.0361831086810308,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.313248,27059.283,0.0371345483883599,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.372715,27427.014,0.0381079371275224,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.432182,27803.107,0.0391034601894287,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.491653,28187.627,0.0401212896299239,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.55112,28580.646,0.0411616160339446,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.610588,28982.297,0.0422247914542202,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.67006,29392.703,0.0433111414733503,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.729527,29811.945,0.0444208804993882,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.788994,30240.178,0.0455544188193498,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.84846,30677.686,0.0467125081849282,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.907932,31124.93,0.0478963688691185,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,37.9674,31582.5,0.0491075626095935,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.026867,32051.033,0.0503477755536369,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.086338,32531.164,0.0516186885545066,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.145805,33023.484,0.0529218659968884,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.205273,33528.52,0.0542587028566355,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.26474,34046.695,0.055630318820249,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.32421,34578.375,0.0570376826944883,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.38368,35123.953,0.0584818347554645,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.443146,35683.887,0.0599639873351333,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.502617,36258.547,0.0614851198283067,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.562084,36848.35,0.0630463360394074,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.62155,37453.668,0.0646486206572731,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,38.68102,38074.793,0.0662927466097011,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
