Well.Position,Temperature,Fluorescence,Normalized,norm_deriv,tm
A01,25.653906,86357.54,0.425727847414257,-0.00185708354638608,53.49893
A01,25.713276,86342.69,0.425617592364108,-0.00169145224881924,53.49893
A01,25.772648,86329.164,0.425517167461191,-0.00152238205508869,53.49893
A01,25.83202,86316.99,0.425426780593816,-0.00135560846079892,53.49893
A01,25.89139,86306.15,0.425346298119499,-0.00119674685946965,53.49893
A01,25.950762,86296.58,0.425275244864958,-0.00105297262360769,53.49893
A01,26.010132,86288.16,0.425212729880295,-0.000933512571154602,53.49893
A01,26.069504,86280.695,0.42515730537192,-0.000848505849309666,53.49893
A01,26.128874,86273.91,0.425106929579647,-0.000804083835570116,53.49893
A01,26.188246,86267.48,0.425059189514161,-0.000804110922778452,53.49893
A01,26.247616,86261.05,0.425011449448676,-0.000854104602944918,53.49893
A01,26.306988,86254.22,0.42496073955019,-0.000935419860402551,53.49893
A01,26.366358,86246.74,0.424905203673078,-0.00103730566345972,53.49893
A01,26.42573,86238.445,0.424843616761227,-0.00113913629791669,53.49893
A01,26.4851,86229.336,0.424775986239219,-0.00124001482325088,53.49893
A01,26.544472,86219.42,0.424702364079133,-0.0013255949893395,53.49893
A01,26.603842,86208.82,0.424623663504616,-0.0013950792021166,53.49893
A01,26.663214,86197.664,0.424540834862228,-0.00146235713423781,53.49893
A01,26.722586,86185.97,0.424454011794454,-0.00153568928953862,53.49893
A01,26.781956,86173.69,0.424362837921334,-0.00161191922869107,53.49893
A01,26.841328,86160.8,0.424267135052888,-0.00170201394386127,53.49893
A01,26.900698,86147.19,0.424166086485041,-0.00181450333656551,53.49893
A01,26.96007,86132.68,0.424058355792943,-0.00195212620599882,53.49893
A01,27.01944,86117.07,0.423942458060093,-0.00210962586408433,53.49893
A01,27.078812,86100.2,0.42381720535329,-0.00227402068737437,53.49893
A01,27.138182,86082.016,0.423682196745081,-0.00245051739375026,53.49893
A01,27.197554,86062.42,0.423536704626379,-0.00262305234919005,53.49893
A01,27.256924,86041.445,0.423380974008408,-0.00279303459835744,53.49893
A01,27.316296,86019.11,0.423215145958234,-0.00295757749980301,53.49893
A01,27.375666,85995.46,0.423039554582071,-0.00310503913486524,53.49893
A01,27.435038,85970.63,0.422855202198555,-0.00324520660126487,53.49893
A01,27.494408,85944.68,0.422662534282638,-0.00338765647053909,53.49893
A01,27.55378,85917.59,0.42246140234267,-0.00352833987878358,53.49893
A01,27.613152,85889.375,0.422251917747386,-0.00366276902290594,53.49893
A01,27.672522,85860.086,0.422034459150496,-0.00378607188268899,53.49893
A01,27.731894,85829.81,0.421809672490677,-0.00389799960544815,53.49893
A01,27.791264,85798.64,0.421578248254102,-0.00399790983252682,53.49893
A01,27.850636,85766.67,0.421340884351525,-0.00409808941516104,53.49893
A01,27.910006,85733.9,0.421097580782947,-0.00420924757468884,53.49893
A01,27.969378,85700.24,0.420847669335943,-0.00432319045108729,53.49893
A01,28.028748,85665.67,0.420591001518862,-0.00443183998951274,53.49893
A01,28.08812,85630.23,0.420327874315004,-0.00454203868045798,53.49893
A01,28.14749,85593.91,0.420058213478545,-0.00466751641863049,53.49893
A01,28.206861,85556.586,0.419781098361255,-0.00482533459782386,53.49893
A01,28.266232,85518,0.419494613420848,-0.00500903896013779,53.49893
A01,28.325603,85477.945,0.419197221768745,-0.005201622158206,53.49893
A01,28.384974,85436.35,0.41888839625959,-0.00538295049405062,53.49893
A01,28.444345,85393.305,0.418568805105808,-0.00554739653655343,53.49893
A01,28.503716,85348.945,0.418239450626036,-0.00569383479950281,53.49893
A01,28.563087,85303.414,0.417901401960155,-0.00582156895862421,53.49893
A01,28.62246,85256.86,0.417555757946375,-0.00592390892878004,53.49893
A01,28.68183,85209.49,0.417204055473273,-0.00599008778406304,53.49893
A01,28.741201,85161.59,0.416848417971445,-0.00602082743035846,53.49893
A01,28.800571,85113.445,0.416490961446905,-0.00602187513247997,53.49893
A01,28.859943,85065.29,0.416133430676539,-0.00599769204611078,53.49893
A01,28.919313,85017.33,0.415777347699762,-0.00595197111007056,53.49893
A01,28.978685,84969.734,0.415423967271015,-0.00591065297888642,53.49893
A01,29.038055,84922.47,0.415073051803658,-0.00589807373322362,53.49893
A01,29.097427,84875.305,0.414722871369969,-0.00590202410584222,53.49893
A01,29.156797,84828.11,0.414372468198805,-0.00589484814859081,53.49893
A01,29.21617,84780.97,0.414022473379679,-0.00588076456356127,53.49893
A01,29.27554,84733.945,0.41367333238754,-0.0058443998452641,53.49893
A01,29.334911,84687.21,0.413326344524327,-0.00579935302223655,53.49893
A01,29.394281,84640.836,0.412982036935397,-0.00575626485771182,53.49893
A01,29.453653,84594.805,0.412640275978265,-0.00571724865915725,53.49893
A01,29.513025,84549.086,0.412300831490874,-0.0056795492486701,53.49893
A01,29.572395,84503.67,0.41196363665198,-0.0056273363297994,53.49893
A01,29.631767,84458.67,0.411629530439407,-0.00555299244402654,53.49893
A01,29.691137,84414.266,0.411299849278005,-0.00547543107836831,53.49893
A01,29.75051,84370.48,0.410974756508589,-0.00540817744424846,53.49893
A01,29.80988,84327.234,0.410653673013724,-0.00535093666371999,53.49893
A01,29.869251,84284.445,0.410335982553063,-0.00532926702554325,53.49893
A01,29.928621,84241.83,0.410019583969756,-0.00534521920180043,53.49893
A01,29.987993,84199.086,0.409702227615307,-0.00539192014720805,53.49893
A01,30.047363,84155.97,0.409382109316167,-0.00546852039338004,53.49893
A01,30.106735,84112.24,0.409057432323371,-0.00557000007785364,53.49893
A01,30.166105,84067.7,0.408726741418749,-0.00570611903841572,53.49893
A01,30.225477,84022.07,0.4083879577192,-0.0058707600730776,53.49893
A01,30.284847,83975.125,0.408039410693662,-0.00604178167796366,53.49893
A01,30.34422,83926.81,0.407680691990096,-0.0062089323273205,53.49893
A01,30.403591,83877.16,0.407312061468891,-0.00636535707145864,53.49893
A01,30.462961,83826.26,0.406934150219558,-0.00648894404785068,53.49893
A01,30.522333,83774.37,0.406548888633549,-0.00657795249427541,53.49893
A01,30.581703,83721.77,0.406158355593964,-0.00664400842671734,53.49893
A01,30.641075,83668.64,0.405763887525653,-0.00670801087058875,53.49893
A01,30.700445,83615,0.405365632920266,-0.0067640582684187,53.49893
A01,30.759817,83560.91,0.404964037252754,-0.00680680521413485,53.49893
A01,30.819187,83506.48,0.40455991722719,-0.00682146725722727,53.49893
A01,30.87856,83451.93,0.404154906251727,-0.00679930184626842,53.49893
A01,30.93793,83397.56,0.403751231701114,-0.00673603504151288,53.49893
A01,30.997301,83343.695,0.403351306564664,-0.00664485752440002,53.49893
A01,31.056671,83290.56,0.402956801373441,-0.00653896481522642,53.49893
A01,31.116043,83238.27,0.402568569954431,-0.00644039075009963,53.49893
A01,31.175413,83186.77,0.402186203955598,-0.00636889420614985,53.49893
A01,31.234785,83135.84,0.40180806996879,-0.00632408854820252,53.49893
A01,31.294155,83085.27,0.401432608831683,-0.00630136617019167,53.49893
A01,31.353527,83034.88,0.401058484119427,-0.00629511357427017,53.49893
A01,31.412899,82984.54,0.400684730636295,-0.00631522824833252,53.49893
A01,31.47227,82934.04,0.400309789219963,-0.0063564960764887,53.49893
A01,31.531641,82883.21,0.399932397691406,-0.00641913120781795,53.49893
A01,31.591011,82831.88,0.399551293871598,-0.0064914450862204,53.49893
A01,31.650383,82779.97,0.399165883793939,-0.00656369609533512,53.49893
A01,31.709753,82727.484,0.398776197156759,-0.00662575084662398,53.49893
A01,31.769125,82674.5,0.398382813077493,-0.00668174908306334,53.49893
A01,31.828495,82621.07,0.397986117634432,-0.00672904373125703,53.49893
A01,31.887867,82567.26,0.39758660085002,-0.00676503646635573,53.49893
A01,31.947237,82513.164,0.397184960635012,-0.00678917229965364,53.49893
A01,32.006607,82458.875,0.396781887475582,-0.00680583603069819,53.49893
A01,32.06598,82404.45,0.396377804572931,-0.00680555465282316,53.49893
A01,32.12535,82350.03,0.395973758793193,-0.00678520281167893,53.49893
A01,32.184723,82295.77,0.395570900946655,-0.00674461795799634,53.49893
A01,32.24409,82241.84,0.395170493212343,-0.00668516296189334,53.49893
A01,32.303463,82188.38,0.394773575031806,-0.00662775167732015,53.49893
A01,32.362835,82135.38,0.39438007215922,-0.00657773090994456,53.49893
A01,32.422207,82082.78,0.393989539119635,-0.0065463576703176,53.49893
A01,32.48158,82030.43,0.393600862225675,-0.00652700929404209,53.49893
A01,32.540947,81978.24,0.393213373264916,-0.00649133575293603,53.49893
A01,32.60032,81926.33,0.392827963187257,-0.00641287840126478,53.49893
A01,32.65969,81875.05,0.392447230596574,-0.00629625804585502,53.49893
A01,32.719063,81824.7,0.392073402867617,-0.00615807506492919,53.49893
A01,32.77843,81775.46,0.391707816425238,-0.00601239497208965,53.49893
A01,32.837803,81727.38,0.39135084249856,-0.00586868653239002,53.49893
A01,32.897175,81680.45,0.391002406841759,-0.00572737786455147,53.49893
A01,32.956547,81634.65,0.390662360963184,-0.00559019737606756,53.49893
A01,33.015915,81589.95,0.390330482125362,-0.00546101727827428,53.49893
A01,33.075287,81546.28,0.390006250607516,-0.00536088545036258,53.49893
A01,33.13466,81503.41,0.389687958755672,-0.00529675243146619,53.49893
A01,33.19403,81461.055,0.389373490563816,-0.00524896586841558,53.49893
A01,33.253403,81419.08,0.38906184371331,-0.00519884606923603,53.49893
A01,33.31277,81377.51,0.388753203818718,-0.00513329479210091,53.49893
A01,33.372143,81336.46,0.388448424707027,-0.00505960062008322,53.49893
A01,33.431515,81296,0.388148026099011,-0.00497706635391172,53.49893
A01,33.490887,81256.2,0.387852527715447,-0.00487485220848032,53.49893
A01,33.550255,81217.22,0.387563117489534,-0.00476385283297149,53.49893
A01,33.609627,81179.125,0.387280278019134,-0.00465122776595095,53.49893
A01,33.669,81141.93,0.387004120672987,-0.00454016283849124,53.49893
A01,33.72837,81105.625,0.386734571205265,-0.00443261456577357,53.49893
A01,33.78774,81070.18,0.386471406878495,-0.00433569606419234,53.49893
A01,33.84711,81035.51,0.386213996603164,-0.00425982185366371,53.49893
A01,33.906483,81001.445,0.385961078200247,-0.00422050224735004,53.49893
A01,33.965855,80967.695,0.385710498540817,-0.00422466348011013,53.49893
A01,34.025223,80933.914,0.38545968871933,-0.00426151927659895,53.49893
A01,34.084595,80899.836,0.38520667379684,-0.00432004357442799,53.49893
A01,34.143967,80865.29,0.384950184169739,-0.00439299990369123,53.49893
A01,34.20334,80830.16,0.384689358586457,-0.00447575893099175,53.49893
A01,34.26271,80794.37,0.384423632778724,-0.00456079710011977,53.49893
A01,34.32208,80757.9,0.38415285825489,-0.00464383437114712,53.49893
A01,34.38145,80720.766,0.383877153808275,-0.00471762921624641,53.49893
A01,34.440823,80683.04,0.383597054008819,-0.00477748349208143,53.49893
A01,34.500195,80644.836,0.383313405258927,-0.00481807481231234,53.49893
A01,34.559563,80606.31,0.383027365793469,-0.00483950924362658,53.49893
A01,34.618935,80567.61,0.382740034450657,-0.00483825872444417,53.49893
A01,34.678307,80528.92,0.382452777353669,-0.00480941577842168,53.49893
A01,34.73768,80490.46,0.382167227910657,-0.00476487936583813,53.49893
A01,34.797047,80452.36,0.381884351317345,-0.0047168789173718,53.49893
A01,34.85642,80414.64,0.381604296065384,-0.00468272682791017,53.49893
A01,34.91579,80377.195,0.381326282573611,-0.00464497527533838,53.49893
A01,34.975163,80340.05,0.381050496456588,-0.00460429917933708,53.49893
A01,35.03453,80303.234,0.380777153027209,-0.00455356386259527,53.49893
A01,35.093903,80266.82,0.380506794279995,-0.00451812581323796,53.49893
A01,35.153275,80230.69,0.380238544114211,-0.00449944380940541,53.49893
A01,35.212646,80194.71,0.379971407635803,-0.00449796598819817,53.49893
A01,35.27202,80158.74,0.37970434540322,-0.00451600508924872,53.49893
A01,35.331387,80122.63,0.379436243729086,-0.00454681117273695,53.49893
A01,35.39076,80086.27,0.379166285909327,-0.00457955551978062,53.49893
A01,35.45013,80049.65,0.378894397698118,-0.00462129364594839,53.49893
A01,35.509502,80012.695,0.378620022251771,-0.00467600626154881,53.49893
A01,35.56887,79975.305,0.378342417112035,-0.00474509504520418,53.49893
A01,35.628242,79937.36,0.378060691329011,-0.00483825872444359,53.49893
A01,35.687614,79898.67,0.377773434232024,-0.00494455285511715,53.49893
A01,35.746986,79859.13,0.37747986623991,-0.00504735046514729,53.49893
A01,35.806355,79818.77,0.377180210090144,-0.00512221285250979,53.49893
A01,35.865726,79777.81,0.376876099190878,-0.0051507150140087,53.49893
A01,35.9251,79736.62,0.376570280637636,-0.00513105305779641,53.49893
A01,35.98447,79695.59,0.376265650017595,-0.00505709958171444,53.49893
A01,36.043842,79655.15,0.375965399901229,-0.00495176432003148,53.49893
A01,36.10321,79615.555,0.375671423557078,-0.00483513242648144,53.49893
A01,36.162582,79576.89,0.375384352074652,-0.0047402180203866,53.49893
A01,36.221954,79538.984,0.375102915850346,-0.00465418230049846,53.49893
A01,36.281326,79501.766,0.374826587738801,-0.00456045050370649,53.49893
A01,36.340694,79465.3,0.374555842913297,-0.0044524735560552,53.49893
A01,36.400066,79429.695,0.374291490653327,-0.00432477491525878,53.49893
A01,36.45944,79395.11,0.374034711467508,-0.00417387343058903,53.49893
A01,36.51881,79361.734,0.373786908601934,-0.00400729866400238,53.49893
A01,36.57818,79329.69,0.373548995280252,-0.00383297041729354,53.49893
A01,36.63755,79299.04,0.373321431826578,-0.00364276238415607,53.49893
A01,36.696922,79269.91,0.373105153738305,-0.00344768139139112,53.49893
A01,36.756294,79242.34,0.372900457998736,-0.00326157377109313,53.49893
A01,36.815662,79216.26,0.372706824887094,-0.00311129173078506,53.49893
A01,36.875034,79191.38,0.372522101274453,-0.0029962439658233,53.49893
A01,36.934406,79167.42,0.372344208277714,-0.0029086096437431,53.49893
A01,36.99378,79144.16,0.372171512488727,-0.00286753708543392,53.49893
A01,37.05315,79121.23,0.372001266811965,-0.00287504045329526,53.49893
A01,37.11252,79098.24,0.371830575660253,-0.00292256178310473,53.49893
A01,37.17189,79074.87,0.37165706316719,-0.0029949934466375,53.49893
A01,37.231262,79050.92,0.371479244416276,-0.00308127927036148,53.49893
A01,37.290634,79026.28,0.371296302703436,-0.00317528213374349,53.49893
A01,37.350002,79000.89,0.37110779255372,-0.00326135403291602,53.49893
A01,37.409374,78974.81,0.370914159442078,-0.00333388414561044,53.49893
A01,37.468746,78948.15,0.370716220072584,-0.00339254426632633,53.49893
A01,37.52812,78921.02,0.370514791149316,-0.00341551305661833,53.49893
A01,37.587486,78893.71,0.370312025801196,-0.0033917939800923,53.49893
A01,37.64686,78866.586,0.370110641425422,-0.00331473781013731,53.49893
A01,37.70623,78840.08,0.369913845441634,-0.00318319658388987,53.49893
A01,37.765602,78814.625,0.369724852694056,-0.0030063256090233,53.49893
A01,37.82497,78790.586,0.369546373155299,-0.00280691536130396,53.49893
A01,37.884342,78768.14,0.369379720976468,-0.00260158011122521,53.49893
A01,37.943714,78747.336,0.369225259962104,-0.00239799558800466,53.49893
A01,38.003086,78728.16,0.369082886168053,-0.00218965909188564,53.49893
A01,38.062458,78710.65,0.36895288172845,-0.00198470765901949,53.49893
A01,38.121826,78694.78,0.368835053604149,-0.00180068696775127,53.49893
A01,38.1812,78680.38,0.368728139616126,-0.00165274182821923,53.49893
A01,38.24057,78667.164,0.368630016333785,-0.00153676302570983,53.49893
A01,38.299942,78654.875,0.368538775639422,-0.0014513252919291,53.49893
A01,38.35931,78643.27,0.368452613359491,-0.00138882660619518,53.49893
A01,38.418682,78632.164,0.368370155946228,-0.00136106508030139,53.49893
A01,38.478054,78621.28,0.36828934679028,-0.00137432058365624,53.49893
A01,38.537426,78610.29,0.368207750628587,-0.00143069033517074,53.49893
A01,38.596794,78598.85,0.368122813404769,-0.00151062717475576,53.49893
A01,38.656166,78586.77,0.368033124448149,-0.00159691299847826,53.49893
A01,38.715538,78574,0.367938312529604,-0.00169070193730936,53.49893
A01,38.77491,78560.48,0.367837932174182,-0.00178824243369278,53.49893
A01,38.834282,78546.18,0.367731760644408,-0.00188465938383218,53.49893
A01,38.89365,78531.11,0.367619872186109,-0.00198207290727445,53.49893
A01,38.953022,78515.26,0.367502192553458,-0.00207085976936568,53.49893
A01,39.012394,78498.7,0.367379241467232,-0.00215339403553683,53.49893
A01,39.071766,78481.48,0.367251390156554,-0.00221481869194881,53.49893
A01,39.131134,78463.77,0.36711990080045,-0.00224218089763017,53.49893
A01,39.190506,78445.84,0.366986778036196,-0.00223780408048195,53.49893
A01,39.249878,78427.945,0.36685391513233,-0.00219903798576836,53.49893
A01,39.30925,78410.36,0.366723353849039,-0.00214728610619828,53.49893
A01,39.368618,78393.19,0.366595873767486,-0.00209461963387055,53.49893
A01,39.42799,78376.44,0.366471512010584,-0.00203834627057169,53.49893
A01,39.487362,78360.14,0.366350491315807,-0.00197144349420664,53.49893
